words@naf2003m	00:08:15.570	00:08:16.000	угу
words@naf2003m	00:09:21.656	00:09:21.931	угу
words@naf2003m	00:09:21.931	00:09:22.206	ну
words@naf2003m	00:09:22.206	00:09:22.378	очень
words@naf2003m	00:09:22.378	00:09:22.677	интересно
words@naf2003m	00:09:22.733	00:09:22.827	ну
words@naf2003m	00:09:22.827	00:09:22.888	я
words@naf2003m	00:09:22.888	00:09:23.298	тогда
words@naf2003m	00:09:23.298	00:09:23.459	потом
words@naf2003m	00:09:23.459	00:09:23.911	еще
words@naf2003m	00:09:23.911	00:09:24.281	посмотрю
words@naf2003m	00:09:24.281	00:09:24.626	про
words@naf2003m	00:09:24.626	00:09:25.242	сепию
words@naf2003m	00:09:25.242	00:09:25.364	и
words@naf2003m	00:09:25.364	00:09:25.867	сангину
